group,prop_budget,method,ess_multiplier,ess_multiplier_serr,ess_multiplier_vs_classical,ess_multiplier_vs_classical_serr,coverage,coverage_serr,mean_width,mean_width_serr
phosphorylated,0.08,wor-active,1.3276063084064083,0.01494628802719297,6.053492950312804,0.06590618408724226,0.924,0.008384169266796462,0.03527500432729716,0.0001595071157987166
phosphorylated,0.08,wor-uniform,1.0,0.0,4.640988550217841,0.02499728345345256,0.946,0.007150883521295473,0.03922668831050392,8.949180832474716e-05
phosphorylated,0.09,bernoulli-active,0.8968076084718678,0.007336000328599666,4.12374275849876,0.03155951476830419,0.971,0.005309160685756948,0.039548059925436925,0.0001316335360856495
phosphorylated,0.09,bernoulli-uniform,0.749038528369628,0.003981669318147853,3.4447065260656546,0.01502067118722413,0.972,0.00521950603441008,0.04270695222914214,7.241895367973151e-05
phosphorylated,0.09,classical,0.21918710579830253,0.001091581788231637,1.0,0.0,0.966,0.0057338361396953854,0.07885115066170688,0.00010665421394983226
phosphorylated,0.09,wor-active,1.294171364245611,0.013239929624812099,5.946315634011464,0.05660550025563259,0.938,0.0076298239962802675,0.033287379071116396,0.00014082067557897264
phosphorylated,0.09,wor-uniform,1.0,0.0,4.677474160617069,0.023743883762404987,0.947,0.007088105617246489,0.03673088085651393,7.464528292652172e-05
phosphorylated,0.1,bernoulli-active,0.8634488910031528,0.006414625007744598,3.9853168805711983,0.026745343486447175,0.969,0.0054835270646791815,0.037982513338327355,0.00011517590017849695
phosphorylated,0.1,bernoulli-uniform,0.731616218809584,0.003649419095299529,3.380018215515694,0.01404449210508578,0.976,0.004842256441727085,0.040829039260745,6.60825633868106e-05
phosphorylated,0.1,classical,0.21800782705400093,0.001023222432686838,1.0,0.0,0.953,0.006695956678163012,0.0747096787691116,9.643331417023943e-05
phosphorylated,0.1,wor-active,1.2931290057364424,0.0122590347432948,5.980047921140459,0.05400209233732218,0.938,0.0076298239962802675,0.03136207635700698,0.00012481740057130437
phosphorylated,0.1,wor-uniform,1.0,0.0,4.689751205325627,0.02244278543835682,0.934,0.007855297938697534,0.034727901190519286,6.720690292202013e-05
phosphorylated,0.11,bernoulli-active,0.8325621452602582,0.005847078337544082,3.867965088591894,0.02465868603025073,0.975,0.004939574819698493,0.03663370235264296,0.00010331959102354917
phosphorylated,0.11,bernoulli-uniform,0.7070641231951275,0.003441164408531,3.2840762024804353,0.012285556150611303,0.985,0.0038457495745029724,0.03939899808168406,5.82451377170408e-05
phosphorylated,0.11,classical,0.21640987673643286,0.0009659994322333517,1.0,0.0,0.961,0.006125072776426131,0.07112856122851367,8.738993302294441e-05
phosphorylated,0.11,wor-active,1.2759922018502345,0.010879556304745523,5.93298322769936,0.04752067631480542,0.955,0.006558812241406064,0.029817393571138336,0.00010731146952278363
phosphorylated,0.11,wor-uniform,1.0,0.0,4.71342425782544,0.0212052062738972,0.952,0.006763264133666652,0.032958484262227965,6.165807225697605e-05
phosphorylated,0.12,bernoulli-active,0.7941848677175025,0.005118346065968486,3.7449699171182935,0.02130672579961136,0.984,0.003969856390319399,0.03560133035480971,9.283963537596507e-05
phosphorylated,0.12,bernoulli-uniform,0.6876257624637578,0.003117029619603691,3.2428108557115065,0.011374325421083065,0.986,0.003717232548256541,0.03797894847393031,5.2002020120983765e-05
phosphorylated,0.12,classical,0.21307001833241562,0.0009007616873824516,1.0,0.0,0.962,0.0060491811505849775,0.06816105151176448,7.442594912822607e-05
phosphorylated,0.12,wor-active,1.3097560781189772,0.011515754723030088,6.1759467450890035,0.05118664694526826,0.919,0.008632121032139988,0.02803892830014224,0.00010353053589083815
phosphorylated,0.12,wor-uniform,1.0,0.0,4.778691930139722,0.020584738349404823,0.945,0.0072129762946392005,0.03135263013839717,5.53544641733307e-05
