dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,,1.0,0.05,83,0.0576625950634479,0.9462025316455696,3.7056054436972126
bbh+gpqa+ifeval+math+musr,,1.0,0.05,84,0.0579131841659545,0.9452983725135624,3.676880019953258
bbh+gpqa+ifeval+math+musr,,1.0,0.05,85,0.0579082183539867,0.9452983725135624,3.690716278519777
bbh+gpqa+ifeval+math+musr,,1.0,0.05,86,0.0579313039779663,0.9507233273056056,3.682064471248088
bbh+gpqa+ifeval+math+musr,,1.0,0.05,87,0.0576908253133297,0.9416817359855334,3.713117765531667
bbh+gpqa+ifeval+math+musr,,1.0,0.05,88,0.0579721704125404,0.9489150090415912,3.6749230581550254
bbh+gpqa+ifeval+math+musr,,1.0,0.05,89,0.0579555183649063,0.9430379746835442,3.670008384815369
bbh+gpqa+ifeval+math+musr,,1.0,0.05,90,0.0577482804656028,0.9452983725135624,3.7082239104573507
bbh+gpqa+ifeval+math+musr,,1.0,0.05,91,0.0578579157590866,0.9556962025316456,3.6937976562946417
bbh+gpqa+ifeval+math+musr,,1.0,0.05,92,0.058060947805643,0.9520795660036168,3.6600832256078317
bbh+gpqa+ifeval+math+musr,,1.0,0.05,93,0.0578553341329097,0.955244122965642,3.689242970534955
bbh+gpqa+ifeval+math+musr,,1.0,0.05,94,0.0576609224081039,0.9493670886075948,3.7159262773590522
bbh+gpqa+ifeval+math+musr,,1.0,0.05,95,0.0578992404043674,0.9547920433996384,3.686871600864949
bbh+gpqa+ifeval+math+musr,,1.0,0.05,96,0.0577136687934398,0.951627486437613,3.6926124893890204
bbh+gpqa+ifeval+math+musr,,1.0,0.05,97,0.0576223842799663,0.9443942133815552,3.712140108114578
bbh+gpqa+ifeval+math+musr,,1.0,0.05,98,0.0577495619654655,0.9452983725135624,3.694542342510082
bbh+gpqa+ifeval+math+musr,,1.0,0.05,99,0.0578193329274654,0.9489150090415912,3.694369121744028
bbh+gpqa+ifeval+math+musr,,1.0,0.075,0,0.044039461761713,0.9498191681735986,4.129192417506106
bbh+gpqa+ifeval+math+musr,,1.0,0.075,1,0.0438679791986942,0.951627486437613,4.162907410543321
bbh+gpqa+ifeval+math+musr,,1.0,0.075,2,0.0439319461584091,0.9452983725135624,4.146898965164449
bbh+gpqa+ifeval+math+musr,,1.0,0.075,3,0.0439562276005744,0.955244122965642,4.155535017132568
bbh+gpqa+ifeval+math+musr,,1.0,0.075,4,0.0440902933478355,0.9425858951175408,4.131338430519377
bbh+gpqa+ifeval+math+musr,,1.0,0.075,5,0.0441688522696495,0.951627486437613,4.106399086461713
bbh+gpqa+ifeval+math+musr,,1.0,0.075,6,0.0440648533403873,0.9529837251356238,4.117032262122905
bbh+gpqa+ifeval+math+musr,,1.0,0.075,7,0.0439368151128292,0.9529837251356238,4.156462423107389
bbh+gpqa+ifeval+math+musr,,1.0,0.075,8,0.0439344011247158,0.9475587703435804,4.149308414004336
bbh+gpqa+ifeval+math+musr,,1.0,0.075,9,0.0440673418343067,0.9462025316455696,4.115678877848501
bbh+gpqa+ifeval+math+musr,,1.0,0.075,10,0.043910689651966,0.9471066907775768,4.155620376150921
bbh+gpqa+ifeval+math+musr,,1.0,0.075,11,0.0441170521080493,0.951627486437613,4.114080003455941
bbh+gpqa+ifeval+math+musr,,1.0,0.075,12,0.0441702343523502,0.961121157323689,4.106369757514218
bbh+gpqa+ifeval+math+musr,,1.0,0.075,13,0.0440334156155586,0.951627486437613,4.139519874640385
bbh+gpqa+ifeval+math+musr,,1.0,0.075,14,0.0439130924642086,0.9534358047016276,4.146158294564286
bbh+gpqa+ifeval+math+musr,,1.0,0.075,15,0.0440991930663585,0.9615732368896924,4.113697494251964
bbh+gpqa+ifeval+math+musr,,1.0,0.075,16,0.0440002642571926,0.9466546112115732,4.135694469594995
bbh+gpqa+ifeval+math+musr,,1.0,0.075,17,0.0440828092396259,0.9498191681735986,4.124368867164617
bbh+gpqa+ifeval+math+musr,,1.0,0.075,18,0.0441162176430225,0.9412296564195298,4.111681912186718
bbh+gpqa+ifeval+math+musr,,1.0,0.075,19,0.0440915338695049,0.9547920433996384,4.122438309972498
bbh+gpqa+ifeval+math+musr,,1.0,0.075,20,0.0439405553042888,0.951627486437613,4.156520189668764
bbh+gpqa+ifeval+math+musr,,1.0,0.075,21,0.0439815148711204,0.9570524412296564,4.151889338123604
bbh+gpqa+ifeval+math+musr,,1.0,0.075,22,0.0441150069236755,0.9525316455696202,4.113829096309661
bbh+gpqa+ifeval+math+musr,,1.0,0.075,23,0.043954562395811,0.950271247739602,4.149195105802965
bbh+gpqa+ifeval+math+musr,,1.0,0.075,24,0.0441478565335273,0.9484629294755876,4.114181952277882
bbh+gpqa+ifeval+math+musr,,1.0,0.075,25,0.0439871810376644,0.9579566003616636,4.135932200420555
bbh+gpqa+ifeval+math+musr,,1.0,0.075,26,0.0440331250429153,0.9507233273056056,4.127974148307823
bbh+gpqa+ifeval+math+musr,,1.0,0.075,27,0.0440380051732063,0.9489150090415912,4.128584110681877
bbh+gpqa+ifeval+math+musr,,1.0,0.075,28,0.0439543426036834,0.9520795660036168,4.144256385643194
bbh+gpqa+ifeval+math+musr,,1.0,0.075,29,0.0438980013132095,0.9498191681735986,4.155093535624271
bbh+gpqa+ifeval+math+musr,,1.0,0.075,30,0.0440483950078487,0.9353526220614828,4.131520064690719
bbh+gpqa+ifeval+math+musr,,1.0,0.075,31,0.0439198836684227,0.9520795660036168,4.153073785955823
bbh+gpqa+ifeval+math+musr,,1.0,0.075,32,0.0441305749118328,0.950271247739602,4.117404827013745
bbh+gpqa+ifeval+math+musr,,1.0,0.075,33,0.044041983783245,0.9489150090415912,4.126230527852959
bbh+gpqa+ifeval+math+musr,,1.0,0.075,34,0.0439495109021663,0.9566003616636528,4.151171975312514
bbh+gpqa+ifeval+math+musr,,1.0,0.075,35,0.0440174080431461,0.9380650994575044,4.1367069552382
bbh+gpqa+ifeval+math+musr,,1.0,0.075,36,0.0439627952873706,0.9466546112115732,4.139361109157896
bbh+gpqa+ifeval+math+musr,,1.0,0.075,37,0.0439774580299854,0.9466546112115732,4.148333393676068
bbh+gpqa+ifeval+math+musr,,1.0,0.075,38,0.044001780450344,0.9416817359855334,4.133343720538376
bbh+gpqa+ifeval+math+musr,,1.0,0.075,39,0.0440661571919918,0.9498191681735986,4.115154478503967
bbh+gpqa+ifeval+math+musr,,1.0,0.075,40,0.0440356358885765,0.9452983725135624,4.127513044700433
bbh+gpqa+ifeval+math+musr,,1.0,0.075,41,0.0441585779190063,0.9498191681735986,4.105686204420753
bbh+gpqa+ifeval+math+musr,,1.0,0.075,42,0.0438447259366512,0.948010849909584,4.1726535749697025
bbh+gpqa+ifeval+math+musr,,1.0,0.075,43,0.0440619625151157,0.953887884267631,4.127878052695601
bbh+gpqa+ifeval+math+musr,,1.0,0.075,44,0.0441502518951892,0.9484629294755876,4.106823119549664
