prop_budget,method,seed,width,coverage
0.0100,wor-uniform,695,0.03600668907165527,0.0
0.0100,wor-uniform,696,0.034500837326049805,0.0
0.0100,wor-uniform,697,0.01634669303894043,0.0
0.0100,wor-uniform,698,0.026133418083190918,0.0
0.0100,wor-uniform,699,0.08691859245300293,0.0
0.0100,wor-uniform,700,0.03130221366882324,0.0
0.0100,wor-uniform,701,0.03338360786437988,0.0
0.0100,wor-uniform,702,0.024837613105773926,0.0
0.0100,wor-uniform,703,0.05193328857421875,0.0
0.0100,wor-uniform,704,0.03494763374328613,0.0
0.0100,wor-uniform,705,0.024100661277770996,0.0
0.0100,wor-uniform,706,0.028802156448364258,0.0
0.0100,wor-uniform,707,0.07576107978820801,0.0
0.0100,wor-uniform,708,0.03593325614929199,0.0
0.0100,wor-uniform,709,0.0485539436340332,0.0
0.0100,wor-uniform,710,0.02570486068725586,0.0
0.0100,wor-uniform,711,0.021021246910095215,0.0
0.0100,wor-uniform,712,0.03891706466674805,0.0
0.0100,wor-uniform,713,0.04247093200683594,0.0
0.0100,wor-uniform,714,0.24619722366333008,0.0
0.0100,wor-uniform,715,0.0526731014251709,0.0
0.0100,wor-uniform,716,0.07628059387207031,0.0
0.0100,wor-uniform,717,0.11234140396118164,0.0
