prop_budget,method,seed,width,coverage
0.0100,bernoulli-active,557,1.9986823797225952,1.0
0.0100,bernoulli-active,558,1.7389779090881348,1.0
0.0100,bernoulli-active,559,5.939055919647217,1.0
0.0100,bernoulli-active,560,1.7039916515350342,1.0
0.0100,bernoulli-active,561,5.122757911682129,1.0
0.0100,bernoulli-active,562,1.6539332866668701,1.0
0.0100,bernoulli-active,563,1.6066844463348389,1.0
0.0100,bernoulli-active,564,1.5750926733016968,1.0
0.0100,bernoulli-active,565,2.714545726776123,1.0
0.0100,bernoulli-active,566,3.7271876335144043,1.0
0.0100,bernoulli-active,567,3.8161630630493164,1.0
0.0100,bernoulli-active,568,1.6821099519729614,1.0
0.0100,bernoulli-active,569,2.467756509780884,1.0
0.0100,bernoulli-active,570,1.8562880754470825,1.0
0.0100,bernoulli-active,571,3.0720748901367188,1.0
0.0100,bernoulli-active,572,3.0446219444274902,1.0
0.0100,bernoulli-active,573,2.2214059829711914,1.0
0.0100,bernoulli-active,574,2.355555772781372,1.0
0.0100,bernoulli-active,575,1.8990546464920044,1.0
0.0100,bernoulli-active,576,1.7366491556167603,1.0
0.0100,bernoulli-active,577,3.608788013458252,1.0
0.0100,bernoulli-active,578,5.559924602508545,1.0
0.0100,bernoulli-active,579,1.957353949546814,1.0
0.0100,bernoulli-active,580,3.987520456314087,1.0
0.0100,bernoulli-active,581,1.8937664031982422,1.0
0.0100,bernoulli-active,582,2.0891273021698,1.0
0.0100,bernoulli-active,583,2.6575756072998047,1.0
0.0100,bernoulli-active,584,1.59590482711792,1.0
0.0100,bernoulli-active,585,1.8119733333587646,1.0
0.0100,bernoulli-active,586,2.7633824348449707,1.0
0.0100,bernoulli-active,587,2.2481489181518555,1.0
0.0100,bernoulli-active,588,3.007817268371582,1.0
0.0100,bernoulli-active,589,2.8259172439575195,1.0
0.0100,bernoulli-active,590,3.0404253005981445,1.0
0.0100,bernoulli-active,591,2.987628221511841,0.0
