dataset,prop_budget,seed,mean_width,coverage
mmlu-pro,0.35,21,0.013045906089246273,0.9498418436511523
mmlu-pro,0.35,22,0.013073288835585117,0.9426118391323995
mmlu-pro,0.35,23,0.013086376711726189,0.9525530953456847
mmlu-pro,0.35,24,0.013077632524073124,0.9525530953456847
mmlu-pro,0.35,25,0.013070682995021343,0.9507455942159965
mmlu-pro,0.35,26,0.013083826750516891,0.947582467239042
mmlu-pro,0.35,27,0.013086315244436264,0.94713059195662
mmlu-pro,0.35,28,0.013057579286396503,0.9502937189335744
mmlu-pro,0.35,29,0.01308827381581068,0.9498418436511523
mmlu-pro,0.35,30,0.01307547278702259,0.9530049706281066
mmlu-pro,0.35,31,0.013056142255663872,0.94713059195662
mmlu-pro,0.35,32,0.0131003949791193,0.947582467239042
mmlu-pro,0.375,0,0.012580501846969128,0.9530049706281066
mmlu-pro,0.375,1,0.012587126344442368,0.9484862178038862
mmlu-pro,0.375,2,0.012568388134241104,0.9448712155445097
mmlu-pro,0.375,3,0.012540794909000397,0.947582467239042
mmlu-pro,0.375,4,0.012572156265377998,0.9530049706281066
mmlu-pro,0.375,5,0.012572301551699638,0.947582467239042
mmlu-pro,0.375,6,0.01259063184261322,0.9498418436511523
mmlu-pro,0.375,7,0.012548774480819702,0.9408043380027112
mmlu-pro,0.375,8,0.012550649233162403,0.9462268413917759
mmlu-pro,0.375,9,0.012562904506921768,0.9435155896972436
mmlu-pro,0.375,10,0.01255948655307293,0.9552643470402169
mmlu-pro,0.375,11,0.012559378519654274,0.955716222322639
mmlu-pro,0.375,12,0.012583506293594837,0.9498418436511523
mmlu-pro,0.375,13,0.012559403665363789,0.9403524627202893
mmlu-pro,0.375,14,0.012591874226927757,0.9521012200632626
mmlu-pro,0.375,15,0.012581266462802887,0.9453230908269318
mmlu-pro,0.375,16,0.012541210278868675,0.9417080885675554
mmlu-pro,0.375,17,0.012592949904501438,0.9543605964753729
mmlu-pro,0.375,18,0.012561773881316185,0.938093086308179
mmlu-pro,0.375,19,0.012577320449054241,0.955716222322639
mmlu-pro,0.375,20,0.012587868608534336,0.9566199728874831
mmlu-pro,0.375,21,0.012548414058983326,0.9493899683687302
mmlu-pro,0.375,22,0.012574178166687489,0.9444193402620877
mmlu-pro,0.375,23,0.012588552199304104,0.9493899683687302
mmlu-pro,0.375,24,0.012571494095027447,0.9530049706281066
mmlu-pro,0.375,25,0.012568389065563679,0.9521012200632626
mmlu-pro,0.375,26,0.012578165158629417,0.9435155896972436
mmlu-pro,0.375,27,0.012582178227603436,0.947582467239042
mmlu-pro,0.375,28,0.012553752399981022,0.9521012200632626
mmlu-pro,0.375,29,0.012586859986186028,0.9462268413917759
mmlu-pro,0.375,30,0.012576896697282791,0.947582467239042
mmlu-pro,0.375,31,0.01255581434816122,0.9457749661093539
mmlu-pro,0.375,32,0.012598407454788685,0.946678716674198
mmlu-pro,0.4,0,0.01213636714965105,0.9575237234523272
mmlu-pro,0.4,1,0.012134280987083912,0.9484862178038862
mmlu-pro,0.4,2,0.012122741900384426,0.946678716674198
mmlu-pro,0.4,3,0.012096498161554337,0.9421599638499775
mmlu-pro,0.4,4,0.012119941413402557,0.9511974694984184
mmlu-pro,0.4,5,0.012120723724365234,0.9430637144148215
mmlu-pro,0.4,6,0.012143086642026901,0.94713059195662
mmlu-pro,0.4,7,0.01210047397762537,0.9417080885675554
mmlu-pro,0.4,8,0.012107784859836102,0.94713059195662
mmlu-pro,0.4,9,0.012109286151826382,0.9484862178038862
mmlu-pro,0.4,10,0.01211533509194851,0.9575237234523272
mmlu-pro,0.4,11,0.012110192328691483,0.9489380930863082
mmlu-pro,0.4,12,0.01212962344288826,0.9498418436511523
mmlu-pro,0.4,13,0.012115069665014744,0.9426118391323995
mmlu-pro,0.4,14,0.012142996303737164,0.9525530953456847
mmlu-pro,0.4,15,0.012136666104197502,0.9507455942159965
mmlu-pro,0.4,16,0.012094383127987385,0.9448712155445097
mmlu-pro,0.4,17,0.012140494771301746,0.9543605964753729
mmlu-pro,0.4,18,0.01211269199848175,0.9367374604609128
mmlu-pro,0.4,19,0.01212875172495842,0.9579755987347492
mmlu-pro,0.4,20,0.012138736434280872,0.9543605964753729
mmlu-pro,0.4,21,0.01210495550185442,0.9516493447808405
mmlu-pro,0.4,22,0.012123938649892807,0.947582467239042
mmlu-pro,0.4,23,0.012143604457378387,0.9539087211929508
mmlu-pro,0.4,24,0.012127580121159554,0.9534568459105287
mmlu-pro,0.4,25,0.012118730694055557,0.9530049706281066
mmlu-pro,0.4,26,0.012129833921790123,0.9439674649796657
mmlu-pro,0.4,27,0.0121350958943367,0.9462268413917759
mmlu-pro,0.4,28,0.012107163667678833,0.9521012200632626
mmlu-pro,0.4,29,0.012142125517129898,0.94713059195662
mmlu-pro,0.4,30,0.012125053443014622,0.9435155896972436
mmlu-pro,0.4,31,0.01211570855230093,0.94713059195662
mmlu-pro,0.4,32,0.012147285975515842,0.9530049706281066
