dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,0,0.01,0.4,26,0.020934434607625008,0.9502937189335744
mmlu-pro,0,0.01,0.4,27,0.020942864939570427,0.9539087211929508
mmlu-pro,0,0.01,0.4,28,0.020941874012351036,0.9498418436511523
mmlu-pro,0,0.01,0.4,29,0.020950013771653175,0.9511974694984184
mmlu-pro,0,0.01,0.4,30,0.020946070551872253,0.9484862178038862
mmlu-pro,0,0.01,0.4,31,0.020945142954587936,0.9462268413917759
mmlu-pro,0,0.01,0.4,32,0.02094559744000435,0.9534568459105287
mmlu-pro,0,0.01,0.425,0,0.020300108939409256,0.9484862178038862
mmlu-pro,0,0.01,0.425,1,0.02029517851769924,0.9570718481699051
mmlu-pro,0,0.01,0.425,2,0.020298399031162262,0.9435155896972436
mmlu-pro,0,0.01,0.425,3,0.020297417417168617,0.9439674649796657
mmlu-pro,0,0.01,0.425,4,0.02030876837670803,0.9511974694984184
mmlu-pro,0,0.01,0.425,5,0.02029574103653431,0.9525530953456847
mmlu-pro,0,0.01,0.425,6,0.020292313769459724,0.9493899683687302
mmlu-pro,0,0.01,0.425,7,0.020309096202254295,0.9525530953456847
mmlu-pro,0,0.01,0.425,8,0.020297832787036896,0.9521012200632626
mmlu-pro,0,0.01,0.425,9,0.020293638110160828,0.9516493447808405
mmlu-pro,0,0.01,0.425,10,0.020299607887864113,0.9511974694984184
mmlu-pro,0,0.01,0.425,11,0.02029682695865631,0.9457749661093539
mmlu-pro,0,0.01,0.425,12,0.02028685249388218,0.9448712155445097
mmlu-pro,0,0.01,0.425,13,0.020305387675762177,0.9507455942159965
mmlu-pro,0,0.01,0.425,14,0.020300736650824547,0.9498418436511523
mmlu-pro,0,0.01,0.425,15,0.020303070545196533,0.9521012200632626
mmlu-pro,0,0.01,0.425,16,0.020298605784773827,0.9588793492995934
mmlu-pro,0,0.01,0.425,17,0.020291199907660484,0.9511974694984184
mmlu-pro,0,0.01,0.425,18,0.02028823457658291,0.9525530953456847
mmlu-pro,0,0.01,0.425,19,0.020289400592446327,0.947582467239042
mmlu-pro,0,0.01,0.425,20,0.020296357572078705,0.9521012200632626
mmlu-pro,0,0.01,0.425,21,0.020306115970015526,0.9548124717577949
mmlu-pro,0,0.01,0.425,22,0.020293189212679863,0.9548124717577949
mmlu-pro,0,0.01,0.425,23,0.020296994596719742,0.9489380930863082
mmlu-pro,0,0.01,0.425,24,0.02029041387140751,0.9430637144148215
mmlu-pro,0,0.01,0.425,25,0.020297585055232048,0.947582467239042
mmlu-pro,0,0.01,0.425,26,0.02028973028063774,0.9511974694984184
mmlu-pro,0,0.01,0.425,27,0.020299406722187996,0.9543605964753729
mmlu-pro,0,0.01,0.425,28,0.020299116149544716,0.9521012200632626
mmlu-pro,0,0.01,0.425,29,0.020306162536144257,0.9502937189335744
mmlu-pro,0,0.01,0.425,30,0.020302020013332367,0.9552643470402169
mmlu-pro,0,0.01,0.425,31,0.020302463322877884,0.9516493447808405
mmlu-pro,0,0.01,0.425,32,0.02030053921043873,0.9484862178038862
mmlu-pro,0,0.01,0.45,0,0.01971329376101494,0.9480343425214641
mmlu-pro,0,0.01,0.45,1,0.019705437123775482,0.9593312245820154
mmlu-pro,0,0.01,0.45,2,0.019711755216121674,0.94713059195662
mmlu-pro,0,0.01,0.45,3,0.019710199907422066,0.9498418436511523
mmlu-pro,0,0.01,0.45,4,0.019720226526260376,0.946678716674198
mmlu-pro,0,0.01,0.45,5,0.01970961131155491,0.94713059195662
mmlu-pro,0,0.01,0.45,6,0.01970411092042923,0.946678716674198
mmlu-pro,0,0.01,0.45,7,0.019718999043107033,0.9498418436511523
mmlu-pro,0,0.01,0.45,8,0.01970934495329857,0.9525530953456847
mmlu-pro,0,0.01,0.45,9,0.01970572955906391,0.9539087211929508
mmlu-pro,0,0.01,0.45,10,0.01971181482076645,0.9511974694984184
mmlu-pro,0,0.01,0.45,11,0.01970856264233589,0.9489380930863082
