lb,ub,interval width,coverage,estimator,$n_b$
-0.03136268,0.022665076,0.054027755,1,faq (full var),2755
-0.031365007,0.022667404,0.05403241,1,faq (simp var),2755
-0.029049916,0.024589224,0.05363914,1,faq (full var),2755
-0.029054359,0.024593666,0.053648025,1,faq (simp var),2755
-0.04335293,0.009471903,0.052824832,1,faq (full var),2755
-0.04336055,0.009479519,0.05284007,1,faq (simp var),2755
-0.030477636,0.023460243,0.05393788,1,faq (full var),2755
-0.030484777,0.023467384,0.05395216,1,faq (simp var),2755
-0.04599629,0.0107088275,0.056705117,1,faq (full var),2755
-0.04600071,0.010713249,0.05671396,1,faq (simp var),2755
-0.018016607,0.03356563,0.051582236,1,faq (full var),2755
-0.018016921,0.033565946,0.051582865,1,faq (simp var),2755
-0.032026865,0.02452254,0.056549404,1,faq (full var),2755
-0.03202945,0.024525126,0.05655458,1,faq (simp var),2755
-0.042361964,0.009144884,0.051506847,1,faq (full var),2755
-0.04237704,0.009159958,0.051537,1,faq (simp var),2755
0.01521489,0.07959189,0.064377,0,faq (full var),2755
0.015174076,0.07963271,0.06445863,0,faq (simp var),2755
-0.013787253,0.04219635,0.055983603,1,faq (full var),2755
-0.013787853,0.042196944,0.055984795,1,faq (simp var),2755
-0.0038998537,0.05121539,0.055115245,1,faq (full var),2755
-0.0039009806,0.05121652,0.055117503,1,faq (simp var),2755
-0.011663719,0.041393824,0.053057544,1,faq (full var),2755
-0.01166392,0.041394025,0.053057946,1,faq (simp var),2755
-0.030697852,0.019718476,0.050416328,1,faq (full var),2755
-0.030712811,0.019733435,0.050446246,1,faq (simp var),2755
-0.05586796,-0.0024958104,0.05337215,0,faq (full var),2755
-0.055896476,-0.0024672952,0.05342918,0,faq (simp var),2755
-0.047245614,0.0048714597,0.052117072,1,faq (full var),2755
-0.047261633,0.0048874784,0.05214911,1,faq (simp var),2755
0.001650868,0.06306742,0.06141655,0,faq (full var),2755
0.0016388707,0.06307942,0.061440546,0,faq (simp var),2755
-0.04766788,0.002194833,0.049862713,1,faq (full var),2755
-0.047678277,0.0022052284,0.049883507,1,faq (simp var),2755
-0.06284468,-0.010874508,0.05197017,0,faq (full var),2755
-0.06286371,-0.010855477,0.05200823,0,faq (simp var),2755
-0.023170987,0.032488074,0.055659063,1,faq (full var),2755
-0.023171099,0.032488186,0.055659287,1,faq (simp var),2755
-0.05645618,-0.0067098197,0.049746357,0,faq (full var),2755
-0.056474082,-0.006691916,0.049782164,0,faq (simp var),2755
-0.002187591,0.05352242,0.05571001,1,faq (full var),2755
-0.00218793,0.05352276,0.05571069,1,faq (simp var),2755
-0.04839685,0.0065526813,0.05494953,1,faq (full var),2755
-0.048409622,0.0065654553,0.054975078,1,faq (simp var),2755
-0.030713081,0.02371157,0.05442465,1,faq (full var),2755
-0.030713215,0.023711704,0.05442492,1,faq (simp var),2755
-0.0404426,0.018198662,0.058641262,1,faq (full var),2755
-0.04044279,0.018198851,0.058641642,1,faq (simp var),2755
-0.030460877,0.020257747,0.050718624,1,faq (full var),2755
-0.03046652,0.020263389,0.050729908,1,faq (simp var),2755
-0.023353536,0.032326546,0.05568008,1,faq (full var),2755
-0.02335355,0.03232656,0.05568011,1,faq (simp var),2755
-0.009314578,0.042676758,0.051991336,1,faq (full var),2755
-0.009322105,0.042684287,0.052006394,1,faq (simp var),2755
-0.040792122,0.014466757,0.055258878,1,faq (full var),2755
-0.04079311,0.014467742,0.055260852,1,faq (simp var),2755
-0.06311549,-0.01304655,0.050068945,0,faq (full var),2755
-0.06313896,-0.013023082,0.05011588,0,faq (simp var),2755
-0.03240636,0.021278717,0.053685077,1,faq (full var),2755
-0.032414008,0.021286365,0.053700373,1,faq (simp var),2755
-0.020425161,0.031782236,0.052207395,1,faq (full var),2755
-0.0204292,0.031786274,0.052215472,1,faq (simp var),2755
-0.0017779879,0.051244188,0.053022176,1,faq (full var),2755
-0.00177853,0.05124473,0.053023256,1,faq (simp var),2755
-0.016920868,0.03733376,0.05425463,1,faq (full var),2755
-0.016921788,0.037334677,0.054256465,1,faq (simp var),2755
-0.05198629,0.00059239194,0.05257868,1,faq (full var),2755
-0.052011214,0.000617316,0.052628532,1,faq (simp var),2755
-0.05446589,-0.004757179,0.04970871,0,faq (full var),2755
-0.05447884,-0.004744228,0.04973461,0,faq (simp var),2755
-0.058437787,-0.011258477,0.04717931,0,faq (full var),2755
-0.058471367,-0.011224896,0.04724647,0,faq (simp var),2755
-0.0053237174,0.052395716,0.05771943,1,faq (full var),2755
-0.005327318,0.052399315,0.057726633,1,faq (simp var),2755
-0.013678624,0.04097693,0.054655556,1,faq (full var),2755
